Nom de l'e-mail,Date d'envoi (votre fuseau horaire),Envoyé,Taux de clics/ouvertures,Taux de distribution,Taux de désabonnement,Taux de spam,Taux d'ouverture,Taux de clics,Cliqué,Remis,Ouvert,Désabonné,segments,statut,reason,segment,statut_filled
FR - Nurturing 25/26 - Cible AST B+1 intérêt IBBA - Témoignage - Version Helene,2026-06-18 14:28:07,2,0.0,100.0,0.0,0.0,0.0,0.0,0,2,0,0,{'bac1'},,ok,bac1,lead
✅✅ 4 - FR - Workflow Téléchargement plaquette - Term intérêt IBBA - la vie étudiante - version Helene,2026-06-18 14:03:00,4,0.0,100.0,0.0,0.0,50.0,0.0,0,4,2,0,{'terminale'},,ok,terminale,lead
✅✅ 3 - FR - Workflow Téléchargement plaquette - Cible Term intérêt IBBA - Parcoursup - version Helene,2026-06-18 14:00:37,4,0.0,100.0,0.0,0.0,50.0,0.0,0,4,2,0,{'terminale'},,ok,terminale,lead
✅✅ 3 - FR - Workflow Téléchargement plaquette - Cible Prépa - 3 campus,2026-06-18 13:51:51,13,20.0,100.0,0.0,0.0,38.462,7.692,1,13,5,0,{'bac2'},,ok,bac2,lead
FR - Workflow AST 2026 - bac+4- Interêt MSc - Mail n°3 (LEAD),2026-06-18 10:52:39,10,50.0,100.0,10.0,0.0,40.0,20.0,2,10,4,1,{'bac45'},lead,ok,bac45,lead
FR - Workflow AST 2026 - bac+5- Interêt double ou nul - Mail n°3 (LEAD),2026-06-18 10:51:41,24,0.0,100.0,0.0,0.0,8.333,0.0,0,24,2,0,{'bac45'},lead,ok,bac45,lead
FR - Workflow AST 2026 - bac+2 - Interêt Bachelor - Mail n°1 (MQL),2026-06-18 10:51:00,15,12.5,100.0,13.333,0.0,53.333,6.667,1,15,8,2,{'bac2'},mql,ok,bac2,mql
FR - NURTURING 2026 AST - LEAD 2026 - bac+2 - Interêt Bach 1,2026-06-10 11:04:19,51,30.0,94.118,0.0,0.0,41.667,12.5,6,48,20,0,{'bac2'},,ok,bac2,lead
FR - Invitation J-8 Post Bac+2/3 27/05/26,2026-05-19 18:00:54,500,2.439,99.8,0.802,0.0,24.649,0.601,3,499,123,4,"{'bac2', 'bac3'}",,ok,bac2,lead
FR - Invitation J-8 Post Bac+2/3 27/05/26,2026-05-19 18:00:54,500,2.439,99.8,0.802,0.0,24.649,0.601,3,499,123,4,"{'bac2', 'bac3'}",,ok,bac3,lead
INT - Typeform - MSc - Finance Risk & Markets,2026-04-17 14:51:55,4,0.0,100.0,0.0,0.0,25.0,0.0,0,4,1,0,"{'bac45', 'bac3'}",,ok,bac45,lead
INT - Typeform - MSc - Finance Risk & Markets,2026-04-17 14:51:55,4,0.0,100.0,0.0,0.0,25.0,0.0,0,4,1,0,"{'bac45', 'bac3'}",,ok,bac3,lead
FR - Invitation visite personnalisée - Cible B+1 Helene,2026-03-31 14:25:44,11,33.333,100.0,0.0,0.0,27.273,9.091,1,11,3,0,{'bac1'},,ok,bac1,lead
INT - Nurturing 25-26 *Parents* EN - 1d Msc,2026-06-23 15:25:28,9,0.0,88.889,0.0,0.0,12.5,0.0,0,8,1,0,"{'bac45', 'bac3'}",,ok,bac45,lead
INT - Nurturing 25-26 *Parents* EN - 1d Msc,2026-06-23 15:25:28,9,0.0,88.889,0.0,0.0,12.5,0.0,0,8,1,0,"{'bac45', 'bac3'}",,ok,bac3,lead
EN - Remerciement brochure - Bachelor in Management,2026-06-18 13:34:47,122,68.627,96.721,1.695,0.0,43.22,29.661,35,118,51,2,{'terminale'},,ok,terminale,lead
FR - Remerciement brochure - MSc Brand and Marketing Management,2026-06-18 13:24:10,6,66.667,100.0,0.0,0.0,50.0,33.333,2,6,3,0,"{'bac45', 'bac3'}",,ok,bac45,lead
FR - Remerciement brochure - MSc Brand and Marketing Management,2026-06-18 13:24:10,6,66.667,100.0,0.0,0.0,50.0,33.333,2,6,3,0,"{'bac45', 'bac3'}",,ok,bac3,lead
FR - Typeform - MSc - Banque,2026-06-18 11:50:27,32,37.5,96.875,3.226,0.0,25.806,9.677,3,31,8,1,"{'bac45', 'bac3'}",,ok,bac45,lead
FR - Typeform - MSc - Banque,2026-06-18 11:50:27,32,37.5,96.875,3.226,0.0,25.806,9.677,3,31,8,1,"{'bac45', 'bac3'}",,ok,bac3,lead
FR - Typeform - MSc - Marketing Digital,2026-06-18 11:49:28,11,0.0,100.0,0.0,0.0,9.091,0.0,0,11,1,0,"{'bac45', 'bac3'}",,ok,bac45,lead
FR - Typeform - MSc - Marketing Digital,2026-06-18 11:49:28,11,0.0,100.0,0.0,0.0,9.091,0.0,0,11,1,0,"{'bac45', 'bac3'}",,ok,bac3,lead
FR - Workflow AST 2026 - bac+5 - interêt MSc - Mail n°3 (MQL),2026-06-18 10:42:12,58,0.0,100.0,1.724,0.0,18.966,0.0,0,58,11,1,{'bac45'},mql,ok,bac45,mql
FR - Workflow AST 2026 - bac+2 - Interêt Bachelor - Mail n°1 (SQL),2026-06-18 10:34:44,97,22.727,98.969,1.042,0.0,22.917,5.208,5,96,22,1,{'bac2'},sql,ok,bac2,sql
FR - Nurturing 25/26 - Cible AST B+1 intérêt IBBA - 2 campus,2026-04-16 15:04:32,2,0.0,100.0,0.0,0.0,0.0,0.0,0,2,0,0,{'bac1'},,ok,bac1,lead
INT - Typeform - MSc - luxury,2026-04-14 16:46:55,10,33.333,70.0,0.0,0.0,42.857,14.286,1,7,3,0,"{'bac45', 'bac3'}",,ok,bac45,lead
INT - Typeform - MSc - luxury,2026-04-14 16:46:55,10,33.333,70.0,0.0,0.0,42.857,14.286,1,7,3,0,"{'bac45', 'bac3'}",,ok,bac3,lead
FR - Envoi lien de visio webinaire Parcoursup 22/01/26,2026-01-12 11:11:03,1,0.0,100.0,0.0,0.0,100.0,0.0,0,1,1,0,{'terminale'},,ok,terminale,lead
FR - Remerciement brochure - Bachelor en Management,2026-06-18 13:28:37,192,48.352,94.271,0.552,0.0,50.276,24.309,44,181,91,1,{'terminale'},,ok,terminale,lead
FR - Typeform - MSc - Performance Commerciale,2026-06-18 11:50:12,21,42.857,100.0,0.0,0.0,33.333,14.286,3,21,7,0,"{'bac45', 'bac3'}",,ok,bac45,lead
FR - Typeform - MSc - Performance Commerciale,2026-06-18 11:50:12,21,42.857,100.0,0.0,0.0,33.333,14.286,3,21,7,0,"{'bac45', 'bac3'}",,ok,bac3,lead
FR - Workflow AST 2026 - bac+3 - Interêt MSc - Mail n°1 (MQL),2026-06-18 10:49:47,49,0.0,100.0,0.0,0.0,36.735,0.0,0,49,18,0,{'bac3'},mql,ok,bac3,mql
FR - Workflow AST 2026 - bac+3 - Interêt double ou nul - Mail n°1 (MQL),2026-06-18 10:49:07,68,0.0,100.0,1.471,0.0,13.235,0.0,0,68,9,1,{'bac3'},mql,ok,bac3,mql
FR - Workflow AST 2026 - bac+4 - Interêt double ou nul - Mail n°1 (MQL),2026-06-18 10:48:53,9,0.0,100.0,11.111,0.0,11.111,0.0,0,9,1,1,{'bac45'},mql,ok,bac45,mql
FR - Workflow AST 2026 - bac+5 - Interêt double ou nul - Mail n°1 (MQL),2026-06-18 10:48:27,22,0.0,100.0,4.545,0.0,31.818,0.0,0,22,7,1,{'bac45'},mql,ok,bac45,mql
FR - Workflow AST 2026 - bac+4 - double ou interet nul - Mail n°3 (MQL),2026-06-18 10:43:27,25,0.0,100.0,0.0,0.0,12.0,0.0,0,25,3,0,{'bac45'},mql,ok,bac45,mql
"FR - Workflow AST 2026 - bac+2, 3, 4, 5 - Interêt PGE - Mail n°1 (SQL)",2026-06-18 10:41:55,99,11.765,100.0,0.0,0.0,34.343,4.04,4,99,34,0,"{'bac2', 'bac45', 'bac3'}",sql,ok,bac2,sql
"FR - Workflow AST 2026 - bac+2, 3, 4, 5 - Interêt PGE - Mail n°1 (SQL)",2026-06-18 10:41:55,99,11.765,100.0,0.0,0.0,34.343,4.04,4,99,34,0,"{'bac2', 'bac45', 'bac3'}",sql,ok,bac45,sql
"FR - Workflow AST 2026 - bac+2, 3, 4, 5 - Interêt PGE - Mail n°1 (SQL)",2026-06-18 10:41:55,99,11.765,100.0,0.0,0.0,34.343,4.04,4,99,34,0,"{'bac2', 'bac45', 'bac3'}",sql,ok,bac3,sql
FR - Workflow AST 2026 - bac+2 - Interêt double ou nul - Mail n°1 (SQL),2026-06-18 10:19:44,34,0.0,100.0,0.0,0.0,14.706,0.0,0,34,5,0,{'bac2'},sql,ok,bac2,sql
FR - Invitation J-2 Post Bac+2/3 27/05/26,2026-05-25 18:00:06,472,2.419,99.576,1.702,0.0,26.383,0.638,3,470,124,8,"{'bac2', 'bac3'}",,ok,bac2,lead
